HepG2	Meta	K562	20	1	1.0000	0.0100	0.00	nan	70.1339	0.7420	0.4442	0.8714	0.0000	0.0000	0.0000	15.9248	1595.0000	11398.0000
HepG2	Meta	LCL	20	1	1.0000	0.0100	0.00	nan	58.2295	0.5982	0.2996	0.6353	0.0000	0.0000	4.6570	8.7726	2770.0000	18100.0000
HepG2	Double	K562	20	1	1.0000	0.0100	0.00	0.7147	70.8433	0.7972	0.4977	0.9055	0.0006	0.3135	0.7524	19.0596	1595.0000	11398.0000
HepG2	Double	LCL	20	1	1.0000	0.0100	0.00	0.6762	61.0091	0.6138	0.3283	0.7026	0.0004	0.1444	5.8484	10.3249	2770.0000	18100.0000
HepG2	Simple	K562	20	1	1.0000	0.0100	0.00	nan	65.9180	0.7183	0.4217	0.8541	0.0000	0.0000	0.0000	10.7837	1595.0000	11398.0000
HepG2	Simple	LCL	20	1	1.0000	0.0100	0.00	nan	54.1293	0.5465	0.2363	0.4770	0.0000	0.0000	0.0000	0.0000	2770.0000	18100.0000
K562	Meta	HepG2	20	1	1.0000	0.0100	0.00	nan	67.3549	0.7223	0.4157	0.8084	0.0000	0.0000	0.0000	11.2360	1691.0000	10478.0000
K562	Meta	LCL	20	1	1.0000	0.0100	0.00	nan	58.3568	0.6055	0.2915	0.6401	0.0000	0.0000	0.0000	0.0000	2770.0000	18100.0000
K562	Double	HepG2	20	1	1.0000	0.0100	0.00	0.7562	66.2204	0.7676	0.4552	0.8528	0.0006	0.1774	0.1774	10.9994	1691.0000	10478.0000
K562	Double	LCL	20	1	1.0000	0.0100	0.00	0.6693	61.5344	0.6360	0.3532	0.7389	0.0004	3.9711	9.0614	14.2238	2770.0000	18100.0000
K562	Simple	HepG2	20	1	1.0000	0.0100	0.00	nan	63.6239	0.7047	0.4126	0.8085	0.0000	0.0000	0.0000	10.5263	1691.0000	10478.0000
K562	Simple	LCL	20	1	1.0000	0.0100	0.00	nan	57.2794	0.5782	0.2853	0.5984	0.0000	0.0000	4.2960	6.7148	2770.0000	18100.0000
LCL	Meta	K562	20	1	1.0000	0.0100	0.00	nan	68.9911	0.7255	0.4423	0.8692	0.0000	0.0000	5.8307	16.3636	1595.0000	11398.0000
LCL	Meta	LCL	20	1	1.0000	0.0100	0.00	nan	60.4025	0.5714	0.3056	0.6444	0.0000	0.8664	3.5379	10.6498	2770.0000	18100.0000
LCL	Double	K562	20	1	1.0000	0.0100	0.00	0.7325	65.3131	0.8484	0.5464	0.9276	0.0006	1.9436	14.8589	23.4483	1595.0000	11398.0000
LCL	Double	LCL	20	1	1.0000	0.0100	0.00	0.6942	61.9065	0.6501	0.3581	0.7477	0.0004	5.9206	8.9531	13.3213	2770.0000	18100.0000
